2020-12-02 19:11:04 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:12:35 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:12:40 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:32:40 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-12-02 19:33:25 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:34:08 |WARN  |http-nio-80-exec-2 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:45:38 |WARN  |http-nio-80-exec-4 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:49:27 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:50:10 |WARN  |http-nio-80-exec-3 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:51:10 |WARN  |http-nio-80-exec-7 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:51:51 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:51:57 |WARN  |http-nio-80-exec-10 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:52:08 |WARN  |http-nio-80-exec-4 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:52:42 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:52:46 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:52:49 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:52:51 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
